Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
GERD,abdominal_pain,indigestion,vomiting,cough,chest_pain,,,,,,,,,,,,
GERD,abdominal_pain,indigestion,mouth_ulcers,cough,chest_pain,,,,,,,,,,,,
Chronic cholestasis,itching,vomiting,jaundice,nausea,loss_of_appetite,abdominal_pain,jaundice,,,,,,,,,,
Chronic cholestasis,vomiting,jaundice,nausea,loss_of_appetite,abdominal_pain,jaundice,,,,,,,,,,,
Chronic cholestasis,itching,jaundice,nausea,loss_of_appetite,abdominal_pain,jaundice,,,,,,,,,,,
Chronic cholestasis,itching,vomiting,nausea,loss_of_appetite,abdominal_pain,jaundice,,,,,,,,,,,
Chronic cholestasis,itching,vomiting,jaundice,loss_of_appetite,abdominal_pain,jaundice,,,,,,,,,,,
Chronic cholestasis,itching,vomiting,jaundice,nausea,abdominal_pain,jaundice,,,,,,,,,,,
Chronic cholestasis,itching,vomiting,jaundice,nausea,loss_of_appetite,jaundice,,,,,,,,,,,
Chronic cholestasis,itching,vomiting,jaundice,nausea,loss_of_appetite,abdominal_pain,,,,,,,,,,,
Chronic cholestasis,itching,vomiting,jaundice,nausea,loss_of_appetite,abdominal_pain,jaundice,,,,,,,,,,
Chronic cholestasis,itching,vomiting,jaundice,nausea,loss_of_appetite,abdominal_pain,jaundice,,,,,,,,,,
Drug Reaction,itching,skin_rash,abdominal_pain,urinary_discomfort,urinary_discomfort,,,,,,,,,,,,
Drug Reaction,itching,abdominal_pain,urinary_discomfort,urinary_discomfort,,,,,,,,,,,,,
Drug Reaction,itching,skin_rash,urinary_discomfort,urinary_discomfort,,,,,,,,,,,,,
Drug Reaction,itching,skin_rash,abdominal_pain,urinary_discomfort,,,,,,,,,,,,,
Drug Reaction,itching,skin_rash,abdominal_pain,urinary_discomfort,,,,,,,,,,,,,
Drug Reaction,skin_rash,abdominal_pain,urinary_discomfort,urinary_discomfort,,,,,,,,,,,,,
Drug Reaction,itching,abdominal_pain,urinary_discomfort,urinary_discomfort,,,,,,,,,,,,,
Drug Reaction,itching,skin_rash,urinary_discomfort,urinary_discomfort,,,,,,,,,,,,,
Drug Reaction,itching,skin_rash,abdominal_pain,urinary_discomfort,,,,,,,,,,,,,
Drug Reaction,itching,skin_rash,abdominal_pain,urinary_discomfort,,,,,,,,,,,,,
Peptic ulcer diseae,vomiting,loss_of_appetite,abdominal_pain,bloating,itching,,,,,,,,,,,,
Peptic ulcer diseae,vomiting,indigestion,abdominal_pain,bloating,itching,,,,,,,,,,,,
Peptic ulcer diseae,indigestion,loss_of_appetite,abdominal_pain,bloating,itching,,,,,,,,,,,,
Peptic ulcer diseae,vomiting,loss_of_appetite,abdominal_pain,bloating,itching,,,,,,,,,,,,
Peptic ulcer diseae,vomiting,indigestion,abdominal_pain,bloating,itching,,,,,,,,,,,,
Peptic ulcer diseae,vomiting,indigestion,loss_of_appetite,bloating,itching,,,,,,,,,,,,
Peptic ulcer diseae,vomiting,indigestion,loss_of_appetite,abdominal_pain,itching,,,,,,,,,,,,
Peptic ulcer diseae,vomiting,indigestion,loss_of_appetite,abdominal_pain,bloating,,,,,,,,,,,,
Peptic ulcer diseae,vomiting,indigestion,loss_of_appetite,abdominal_pain,bloating,itching,,,,,,,,,,,
Peptic ulcer diseae,vomiting,indigestion,loss_of_appetite,abdominal_pain,bloating,itching,,,,,,,,,,,
AIDS,muscle_wasting,throat_irritation,fever,extra_marital_contacts,,,,,,,,,,,,,
AIDS,throat_irritation,fever,extra_marital_contacts,,,,,,,,,,,,,,
AIDS,muscle_wasting,fever,extra_marital_contacts,,,,,,,,,,,,,,
AIDS,muscle_wasting,throat_irritation,extra_marital_contacts,,,,,,,,,,,,,,
AIDS,muscle_wasting,throat_irritation,fever,,,,,,,,,,,,,,
AIDS,muscle_wasting,throat_irritation,fever,extra_marital_contacts,,,,,,,,,,,,,
AIDS,muscle_wasting,throat_irritation,fever,extra_marital_contacts,,,,,,,,,,,,,
AIDS,throat_irritation,fever,extra_marital_contacts,,,,,,,,,,,,,,
AIDS,muscle_wasting,fever,extra_marital_contacts,,,,,,,,,,,,,,
AIDS,muscle_wasting,throat_irritation,fever,,,,,,,,,,,,,,
Diabetes,fatigue,weight_loss,restlessness,fatigue,irregular_sugar_level,visual_disturbances,obesity,excessive_hunger,excessive_hunger,urinary_frequency,,,,,,,
Diabetes,fatigue,weight_loss,restlessness,fatigue,irregular_sugar_level,visual_disturbances,obesity,excessive_hunger,excessive_hunger,urinary_frequency,,,,,,,
Diabetes,weight_loss,restlessness,fatigue,irregular_sugar_level,visual_disturbances,obesity,excessive_hunger,excessive_hunger,urinary_frequency,,,,,,,,
Diabetes,fatigue,restlessness,fatigue,irregular_sugar_level,visual_disturbances,obesity,excessive_hunger,excessive_hunger,urinary_frequency,,,,,,,,
Diabetes,fatigue,weight_loss,fatigue,irregular_sugar_level,visual_disturbances,obesity,excessive_hunger,excessive_hunger,urinary_frequency,,,,,,,,
Diabetes,fatigue,weight_loss,restlessness,irregular_sugar_level,visual_disturbances,obesity,excessive_hunger,excessive_hunger,urinary_frequency,,,,,,,,
Diabetes,fatigue,weight_loss,restlessness,fatigue,visual_disturbances,obesity,excessive_hunger,excessive_hunger,urinary_frequency,,,,,,,,
Diabetes,fatigue,weight_loss,restlessness,fatigue,irregular_sugar_level,obesity,excessive_hunger,excessive_hunger,urinary_frequency,,,,,,,,
Diabetes,fatigue,weight_loss,restlessness,fatigue,irregular_sugar_level,visual_disturbances,excessive_hunger,excessive_hunger,urinary_frequency,,,,,,,,
Diabetes,fatigue,weight_loss,restlessness,fatigue,irregular_sugar_level,visual_disturbances,obesity,excessive_hunger,urinary_frequency,,,,,,,,
Gastroenteritis,vomiting,dehydration,dehydration,diarrhoea,,,,,,,,,,,,,
Gastroenteritis,vomiting,dehydration,dehydration,diarrhoea,,,,,,,,,,,,,
Gastroenteritis,dehydration,dehydration,diarrhoea,,,,,,,,,,,,,,
Gastroenteritis,vomiting,dehydration,diarrhoea,,,,,,,,,,,,,,
Gastroenteritis,vomiting,dehydration,diarrhoea,,,,,,,,,,,,,,
Gastroenteritis,vomiting,dehydration,dehydration,,,,,,,,,,,,,,
Gastroenteritis,vomiting,dehydration,dehydration,diarrhoea,,,,,,,,,,,,,
Gastroenteritis,dehydration,dehydration,diarrhoea,,,,,,,,,,,,,,
Gastroenteritis,vomiting,dehydration,diarrhoea,,,,,,,,,,,,,,
Gastroenteritis,vomiting,dehydration,diarrhoea,,,,,,,,,,,,,,
Bronchial Asthma,fatigue,cough,fever,breathlessness,family_history,phlegm,,,,,,,,,,,
Bronchial Asthma,cough,fever,breathlessness,family_history,phlegm,,,,,,,,,,,,
Bronchial Asthma,fatigue,fever,breathlessness,family_history,phlegm,,,,,,,,,,,,
Bronchial Asthma,fatigue,cough,breathlessness,family_history,phlegm,,,,,,,,,,,,
Bronchial Asthma,fatigue,cough,fever,family_history,phlegm,,,,,,,,,,,,
Bronchial Asthma,fatigue,cough,fever,breathlessness,phlegm,,,,,,,,,,,,
Bronchial Asthma,fatigue,cough,fever,breathlessness,family_history,,,,,,,,,,,,
Bronchial Asthma,fatigue,cough,fever,breathlessness,family_history,phlegm,,,,,,,,,,,
Bronchial Asthma,cough,fever,breathlessness,family_history,phlegm,,,,,,,,,,,,
Bronchial Asthma,fatigue,fever,breathlessness,family_history,phlegm,,,,,,,,,,,,
Hypertension,headache,chest_pain,dizziness,vertigo,lack_of_concentration,,,,,,,,,,,,
Hypertension,chest_pain,dizziness,vertigo,lack_of_concentration,,,,,,,,,,,,,
Hypertension,headache,dizziness,vertigo,lack_of_concentration,,,,,,,,,,,,,
Hypertension,headache,chest_pain,vertigo,lack_of_concentration,,,,,,,,,,,,,
Hypertension,headache,chest_pain,dizziness,lack_of_concentration,,,,,,,,,,,,,
Hypertension,headache,chest_pain,dizziness,vertigo,,,,,,,,,,,,,
Hypertension,headache,chest_pain,dizziness,vertigo,lack_of_concentration,,,,,,,,,,,,
Hypertension,chest_pain,dizziness,vertigo,lack_of_concentration,,,,,,,,,,,,,
Hypertension,headache,dizziness,vertigo,lack_of_concentration,,,,,,,,,,,,,
Hypertension,headache,chest_pain,vertigo,lack_of_concentration,,,,,,,,,,,,,
Migraine,indigestion,indigestion,headache,visual_disturbances,excessive_hunger,stiffness,depression,irritability,visual_disturbances,,,,,,,,
Migraine,indigestion,headache,visual_disturbances,excessive_hunger,stiffness,depression,irritability,visual_disturbances,,,,,,,,,
Migraine,indigestion,headache,visual_disturbances,excessive_hunger,stiffness,depression,irritability,visual_disturbances,,,,,,,,,
Migraine,indigestion,indigestion,visual_disturbances,excessive_hunger,stiffness,depression,irritability,visual_disturbances,,,,,,,,,
Migraine,indigestion,indigestion,headache,excessive_hunger,stiffness,depression,irritability,visual_disturbances,,,,,,,,,
Migraine,indigestion,indigestion,headache,visual_disturbances,stiffness,depression,irritability,visual_disturbances,,,,,,,,,
Migraine,indigestion,indigestion,headache,visual_disturbances,excessive_hunger,depression,irritability,visual_disturbances,,,,,,,,,
Migraine,indigestion,indigestion,headache,visual_disturbances,excessive_hunger,stiffness,irritability,visual_disturbances,,,,,,,,,
Migraine,indigestion,indigestion,headache,visual_disturbances,excessive_hunger,stiffness,depression,visual_disturbances,,,,,,,,,
Migraine,indigestion,indigestion,headache,visual_disturbances,excessive_hunger,stiffness,depression,irritability,,,,,,,,,
Cervical spondylosis,back_pain,muscle_weakness,neck_pain,dizziness,vertigo,,,,,,,,,,,,
Cervical spondylosis,back_pain,muscle_weakness,neck_pain,dizziness,vertigo,,,,,,,,,,,,
Cervical spondylosis,muscle_weakness,neck_pain,dizziness,vertigo,,,,,,,,,,,,,
Cervical spondylosis,back_pain,neck_pain,dizziness,vertigo,,,,,,,,,,,,,
Cervical spondylosis,back_pain,muscle_weakness,dizziness,vertigo,,,,,,,,,,,,,
Cervical spondylosis,back_pain,muscle_weakness,neck_pain,vertigo,,,,,,,,,,,,,
Cervical spondylosis,back_pain,muscle_weakness,neck_pain,dizziness,,,,,,,,,,,,,
Cervical spondylosis,back_pain,muscle_weakness,neck_pain,dizziness,vertigo,,,,,,,,,,,,
Cervical spondylosis,muscle_weakness,neck_pain,dizziness,vertigo,,,,,,,,,,,,,
Cervical spondylosis,back_pain,neck_pain,dizziness,vertigo,,,,,,,,,,,,,
Paralysis (brain hemorrhage),vomiting,headache,weakness_of_one_body_side,altered_sensorium,,,,,,,,,,,,,
Paralysis (brain hemorrhage),vomiting,headache,weakness_of_one_body_side,altered_sensorium,,,,,,,,,,,,,
Paralysis (brain hemorrhage),headache,weakness_of_one_body_side,altered_sensorium,,,,,,,,,,,,,,
Paralysis (brain hemorrhage),vomiting,weakness_of_one_body_side,altered_sensorium,,,,,,,,,,,,,,
Paralysis (brain hemorrhage),vomiting,headache,altered_sensorium,,,,,,,,,,,,,,
Paralysis (brain hemorrhage),vomiting,headache,weakness_of_one_body_side,,,,,,,,,,,,,,
Paralysis (brain hemorrhage),vomiting,headache,weakness_of_one_body_side,altered_sensorium,,,,,,,,,,,,,
Paralysis (brain hemorrhage),headache,weakness_of_one_body_side,altered_sensorium,,,,,,,,,,,,,,
Paralysis (brain hemorrhage),vomiting,weakness_of_one_body_side,altered_sensorium,,,,,,,,,,,,,,
Paralysis (brain hemorrhage),vomiting,headache,altered_sensorium,,,,,,,,,,,,,,
Jaundice,itching,vomiting,fatigue,weight_loss,fever,jaundice,jaundice,abdominal_pain,,,,,,,,,
Jaundice,itching,vomiting,fatigue,weight_loss,fever,jaundice,jaundice,abdominal_pain,,,,,,,,,
Jaundice,vomiting,fatigue,weight_loss,fever,jaundice,jaundice,abdominal_pain,,,,,,,,,,
Jaundice,itching,fatigue,weight_loss,fever,jaundice,jaundice,abdominal_pain,,,,,,,,,,
Jaundice,itching,vomiting,weight_loss,fever,jaundice,jaundice,abdominal_pain,,,,,,,,,,
Jaundice,itching,vomiting,fatigue,fever,jaundice,jaundice,abdominal_pain,,,,,,,,,,
Jaundice,itching,vomiting,fatigue,weight_loss,jaundice,jaundice,abdominal_pain,,,,,,,,,,
Jaundice,itching,vomiting,fatigue,weight_loss,fever,jaundice,abdominal_pain,,,,,,,,,,
Jaundice,itching,vomiting,fatigue,weight_loss,fever,jaundice,abdominal_pain,,,,,,,,,,
Jaundice,itching,vomiting,fatigue,weight_loss,fever,jaundice,jaundice,,,,,,,,,,
Malaria,chills,vomiting,fever,sweating,headache,nausea,muscle_pain,,,,,,,,,,
Malaria,chills,vomiting,fever,sweating,headache,nausea,diarrhoea,muscle_pain,,,,,,,,,
Malaria,chills,vomiting,fever,sweating,headache,nausea,diarrhoea,muscle_pain,,,,,,,,,
Malaria,vomiting,fever,sweating,headache,nausea,diarrhoea,muscle_pain,,,,,,,,,,
Malaria,chills,fever,sweating,headache,nausea,diarrhoea,muscle_pain,,,,,,,,,,
Malaria,chills,vomiting,sweating,headache,nausea,diarrhoea,muscle_pain,,,,,,,,,,
Malaria,chills,vomiting,fever,headache,nausea,diarrhoea,muscle_pain,,,,,,,,,,
Malaria,chills,vomiting,fever,sweating,nausea,diarrhoea,muscle_pain,,,,,,,,,,
Malaria,chills,vomiting,fever,sweating,headache,diarrhoea,muscle_pain,,,,,,,,,,
Malaria,chills,vomiting,fever,sweating,headache,nausea,muscle_pain,,,,,,,,,,
Chicken pox,itching,skin_rash,fatigue,fatigue,fever,headache,loss_of_appetite,fever,swollen_lymph_nodes,fatigue,skin_rash,,,,,,
Chicken pox,skin_rash,fatigue,fatigue,fever,headache,loss_of_appetite,fever,swollen_lymph_nodes,fatigue,skin_rash,,,,,,,
Chicken pox,itching,fatigue,fatigue,fever,headache,loss_of_appetite,fever,swollen_lymph_nodes,fatigue,skin_rash,,,,,,,
Chicken pox,itching,skin_rash,fatigue,fever,headache,loss_of_appetite,fever,swollen_lymph_nodes,fatigue,skin_rash,,,,,,,
Chicken pox,itching,skin_rash,fatigue,fever,headache,loss_of_appetite,fever,swollen_lymph_nodes,fatigue,skin_rash,,,,,,,
Chicken pox,itching,skin_rash,fatigue,fatigue,headache,loss_of_appetite,fever,swollen_lymph_nodes,fatigue,skin_rash,,,,,,,
Chicken pox,itching,skin_rash,fatigue,fatigue,fever,loss_of_appetite,fever,swollen_lymph_nodes,fatigue,skin_rash,,,,,,,
Chicken pox,itching,skin_rash,fatigue,fatigue,fever,headache,fever,swollen_lymph_nodes,fatigue,skin_rash,,,,,,,
Chicken pox,itching,skin_rash,fatigue,fatigue,fever,headache,loss_of_appetite,swollen_lymph_nodes,fatigue,skin_rash,,,,,,,
Chicken pox,itching,skin_rash,fatigue,fatigue,fever,headache,loss_of_appetite,fever,fatigue,skin_rash,,,,,,,
Dengue,skin_rash,chills,joint_pain,vomiting,fatigue,fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,muscle_pain,skin_rash,,,,
Dengue,skin_rash,chills,joint_pain,vomiting,fatigue,fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,fatigue,skin_rash,,,,
Dengue,skin_rash,chills,joint_pain,vomiting,fatigue,fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,fatigue,muscle_pain,,,,
Dengue,skin_rash,chills,joint_pain,vomiting,fatigue,fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,fatigue,muscle_pain,skin_rash,,,
Dengue,chills,joint_pain,vomiting,fatigue,fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,fatigue,muscle_pain,skin_rash,,,,
Dengue,skin_rash,joint_pain,vomiting,fatigue,fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,fatigue,muscle_pain,skin_rash,,,,
Dengue,skin_rash,chills,vomiting,fatigue,fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,fatigue,muscle_pain,skin_rash,,,,
Dengue,skin_rash,chills,joint_pain,fatigue,fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,fatigue,muscle_pain,skin_rash,,,,
Dengue,skin_rash,chills,joint_pain,vomiting,fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,fatigue,muscle_pain,skin_rash,,,,
Dengue,skin_rash,chills,joint_pain,vomiting,fatigue,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,fatigue,muscle_pain,skin_rash,,,,
Typhoid,chills,vomiting,fatigue,fever,nausea,constipation,abdominal_pain,diarrhoea,fever,abdominal_pain,,,,,,,
Typhoid,chills,vomiting,fatigue,fever,headache,constipation,abdominal_pain,diarrhoea,fever,abdominal_pain,,,,,,,
Typhoid,chills,vomiting,fatigue,fever,headache,nausea,abdominal_pain,diarrhoea,fever,abdominal_pain,,,,,,,
Typhoid,chills,vomiting,fatigue,fever,headache,nausea,constipation,diarrhoea,fever,abdominal_pain,,,,,,,
Typhoid,chills,vomiting,fatigue,fever,headache,nausea,constipation,abdominal_pain,fever,abdominal_pain,,,,,,,
Typhoid,chills,vomiting,fatigue,fever,headache,nausea,constipation,abdominal_pain,diarrhoea,abdominal_pain,,,,,,,
Typhoid,chills,vomiting,fatigue,fever,headache,nausea,constipation,abdominal_pain,diarrhoea,fever,,,,,,,
Typhoid,chills,vomiting,fatigue,fever,headache,nausea,constipation,abdominal_pain,diarrhoea,fever,abdominal_pain,,,,,,
Typhoid,chills,vomiting,fatigue,fever,headache,nausea,constipation,abdominal_pain,diarrhoea,fever,abdominal_pain,,,,,,
Typhoid,chills,fatigue,fever,headache,nausea,constipation,abdominal_pain,diarrhoea,fever,abdominal_pain,,,,,,,
hepatitis A,joint_pain,vomiting,jaundice,jaundice,nausea,loss_of_appetite,abdominal_pain,diarrhoea,fever,jaundice,muscle_pain,,,,,,
hepatitis A,joint_pain,vomiting,jaundice,jaundice,nausea,loss_of_appetite,abdominal_pain,diarrhoea,fever,jaundice,muscle_pain,,,,,,
hepatitis A,vomiting,jaundice,jaundice,nausea,loss_of_appetite,abdominal_pain,diarrhoea,fever,jaundice,muscle_pain,,,,,,,
hepatitis A,joint_pain,jaundice,jaundice,nausea,loss_of_appetite,abdominal_pain,diarrhoea,fever,jaundice,muscle_pain,,,,,,,
hepatitis A,joint_pain,vomiting,jaundice,nausea,loss_of_appetite,abdominal_pain,diarrhoea,fever,jaundice,muscle_pain,,,,,,,
hepatitis A,joint_pain,vomiting,jaundice,nausea,loss_of_appetite,abdominal_pain,diarrhoea,fever,jaundice,muscle_pain,,,,,,,
hepatitis A,joint_pain,vomiting,jaundice,jaundice,loss_of_appetite,abdominal_pain,diarrhoea,fever,jaundice,muscle_pain,,,,,,,
hepatitis A,joint_pain,vomiting,jaundice,jaundice,nausea,abdominal_pain,diarrhoea,fever,jaundice,muscle_pain,,,,,,,
hepatitis A,joint_pain,vomiting,jaundice,jaundice,nausea,loss_of_appetite,diarrhoea,fever,jaundice,muscle_pain,,,,,,,
hepatitis A,joint_pain,vomiting,jaundice,jaundice,nausea,loss_of_appetite,abdominal_pain,fever,jaundice,muscle_pain,,,,,,,
Hepatitis B,itching,fatigue,fatigue,jaundice,jaundice,loss_of_appetite,abdominal_pain,jaundice,jaundice,fatigue,receiving_blood_transfusion,receiving_unsterile_injections,,,,,
Hepatitis B,itching,fatigue,fatigue,jaundice,jaundice,loss_of_appetite,abdominal_pain,jaundice,jaundice,fatigue,receiving_blood_transfusion,receiving_unsterile_injections,,,,,
Hepatitis B,fatigue,fatigue,jaundice,jaundice,loss_of_appetite,abdominal_pain,jaundice,jaundice,fatigue,receiving_blood_transfusion,receiving_unsterile_injections,,,,,,
Hepatitis B,itching,fatigue,jaundice,jaundice,loss_of_appetite,abdominal_pain,jaundice,jaundice,fatigue,receiving_blood_transfusion,receiving_unsterile_injections,,,,,,
Hepatitis B,itching,fatigue,jaundice,jaundice,loss_of_appetite,abdominal_pain,jaundice,jaundice,fatigue,receiving_blood_transfusion,receiving_unsterile_injections,,,,,,
Hepatitis B,itching,fatigue,fatigue,jaundice,loss_of_appetite,abdominal_pain,jaundice,jaundice,fatigue,receiving_blood_transfusion,receiving_unsterile_injections,,,,,,
Hepatitis B,itching,fatigue,fatigue,jaundice,loss_of_appetite,abdominal_pain,jaundice,jaundice,fatigue,receiving_blood_transfusion,receiving_unsterile_injections,,,,,,
Hepatitis B,itching,fatigue,fatigue,jaundice,jaundice,abdominal_pain,jaundice,jaundice,fatigue,receiving_blood_transfusion,receiving_unsterile_injections,,,,,,
Hepatitis B,itching,fatigue,fatigue,jaundice,jaundice,loss_of_appetite,jaundice,jaundice,fatigue,receiving_blood_transfusion,receiving_unsterile_injections,,,,,,
Hepatitis B,itching,fatigue,fatigue,jaundice,jaundice,loss_of_appetite,abdominal_pain,jaundice,fatigue,receiving_blood_transfusion,receiving_unsterile_injections,,,,,,
Hepatitis C,fatigue,jaundice,nausea,loss_of_appetite,family_history,,,,,,,,,,,,
Hepatitis C,fatigue,jaundice,nausea,loss_of_appetite,jaundice,family_history,,,,,,,,,,,
Hepatitis C,jaundice,nausea,loss_of_appetite,jaundice,family_history,,,,,,,,,,,,
Hepatitis C,fatigue,nausea,loss_of_appetite,jaundice,family_history,,,,,,,,,,,,
Hepatitis C,fatigue,jaundice,loss_of_appetite,jaundice,family_history,,,,,,,,,,,,
Hepatitis C,fatigue,jaundice,nausea,jaundice,family_history,,,,,,,,,,,,
Hepatitis C,fatigue,jaundice,nausea,loss_of_appetite,family_history,,,,,,,,,,,,
Hepatitis C,fatigue,jaundice,nausea,loss_of_appetite,jaundice,,,,,,,,,,,,
Hepatitis C,fatigue,jaundice,nausea,loss_of_appetite,jaundice,family_history,,,,,,,,,,,
Hepatitis C,fatigue,jaundice,nausea,loss_of_appetite,jaundice,family_history,,,,,,,,,,,
Hepatitis D,joint_pain,vomiting,fatigue,jaundice,jaundice,nausea,loss_of_appetite,abdominal_pain,jaundice,,,,,,,,
Hepatitis D,vomiting,fatigue,jaundice,jaundice,nausea,loss_of_appetite,abdominal_pain,jaundice,,,,,,,,,
Hepatitis D,joint_pain,fatigue,jaundice,jaundice,nausea,loss_of_appetite,abdominal_pain,jaundice,,,,,,,,,
Hepatitis D,joint_pain,vomiting,jaundice,jaundice,nausea,loss_of_appetite,abdominal_pain,jaundice,,,,,,,,,
Hepatitis D,joint_pain,vomiting,fatigue,jaundice,nausea,loss_of_appetite,abdominal_pain,jaundice,,,,,,,,,
Hepatitis D,joint_pain,vomiting,fatigue,jaundice,nausea,loss_of_appetite,abdominal_pain,jaundice,,,,,,,,,
Hepatitis D,joint_pain,vomiting,fatigue,jaundice,jaundice,loss_of_appetite,abdominal_pain,jaundice,,,,,,,,,
Hepatitis D,joint_pain,vomiting,fatigue,jaundice,jaundice,nausea,abdominal_pain,jaundice,,,,,,,,,
Hepatitis D,joint_pain,vomiting,fatigue,jaundice,jaundice,nausea,loss_of_appetite,jaundice,,,,,,,,,
Hepatitis D,joint_pain,vomiting,fatigue,jaundice,jaundice,nausea,loss_of_appetite,abdominal_pain,,,,,,,,,
Hepatitis E,joint_pain,vomiting,fatigue,fever,jaundice,jaundice,nausea,loss_of_appetite,abdominal_pain,jaundice,coma,stomach_bleeding,,,,,
Hepatitis E,joint_pain,vomiting,fatigue,fever,jaundice,jaundice,nausea,loss_of_appetite,abdominal_pain,jaundice,acute_liver_failure,coma,stomach_bleeding,,,,
Hepatitis E,joint_pain,vomiting,fatigue,fever,jaundice,jaundice,nausea,loss_of_appetite,abdominal_pain,jaundice,acute_liver_failure,coma,stomach_bleeding,,,,
Hepatitis E,vomiting,fatigue,fever,jaundice,jaundice,nausea,loss_of_appetite,abdominal_pain,jaundice,acute_liver_failure,coma,stomach_bleeding,,,,,
Hepatitis E,joint_pain,fatigue,fever,jaundice,jaundice,nausea,loss_of_appetite,abdominal_pain,jaundice,acute_liver_failure,coma,stomach_bleeding,,,,,
Hepatitis E,joint_pain,vomiting,fever,jaundice,jaundice,nausea,loss_of_appetite,abdominal_pain,jaundice,acute_liver_failure,coma,stomach_bleeding,,,,,
Hepatitis E,joint_pain,vomiting,fatigue,jaundice,jaundice,nausea,loss_of_appetite,abdominal_pain,jaundice,acute_liver_failure,coma,stomach_bleeding,,,,,
Hepatitis E,joint_pain,vomiting,fatigue,fever,jaundice,nausea,loss_of_appetite,abdominal_pain,jaundice,acute_liver_failure,coma,stomach_bleeding,,,,,
Hepatitis E,joint_pain,vomiting,fatigue,fever,jaundice,nausea,loss_of_appetite,abdominal_pain,jaundice,acute_liver_failure,coma,stomach_bleeding,,,,,
Hepatitis E,joint_pain,vomiting,fatigue,fever,jaundice,jaundice,loss_of_appetite,abdominal_pain,jaundice,acute_liver_failure,coma,stomach_bleeding,,,,,
Alcoholic hepatitis,vomiting,jaundice,abdominal_pain,abdominal_swelling,bloating,history_of_alcohol_consumption,edema,,,,,,,,,,
Alcoholic hepatitis,vomiting,jaundice,abdominal_pain,abdominal_swelling,bloating,history_of_alcohol_consumption,edema,,,,,,,,,,
Alcoholic hepatitis,jaundice,abdominal_pain,abdominal_swelling,bloating,history_of_alcohol_consumption,edema,,,,,,,,,,,
