,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
1039,frozenset({'Common Cold'}),"frozenset({'chest_pain', 'loss_of_smell'})",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
1040,"frozenset({'muscle_pain', 'chest_pain'})",frozenset({'Common Cold'}),0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
1043,frozenset({'Common Cold'}),"frozenset({'muscle_pain', 'chest_pain'})",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
1044,"frozenset({'nasal_congestion', 'chest_pain'})",frozenset({'Common Cold'}),0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
1046,"frozenset({'chest_pain', 'Common Cold'})",frozenset({'nasal_congestion'}),0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
1047,frozenset({'nasal_congestion'}),"frozenset({'chest_pain', 'Common Cold'})",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
1048,frozenset({'Common Cold'}),"frozenset({'nasal_congestion', 'chest_pain'})",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
1052,"frozenset({'runny_nose', 'chest_pain'})",frozenset({'Common Cold'}),0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
1054,"frozenset({'chest_pain', 'Common Cold'})",frozenset({'runny_nose'}),0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
1055,frozenset({'runny_nose'}),"frozenset({'chest_pain', 'Common Cold'})",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
1056,frozenset({'Common Cold'}),"frozenset({'runny_nose', 'chest_pain'})",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
1064,"frozenset({'chest_pain', 'throat_irritation'})",frozenset({'Common Cold'}),0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
1067,frozenset({'Common Cold'}),"frozenset({'chest_pain', 'throat_irritation'})",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
1161,"frozenset({'fatigue', 'eye_irritation'})",frozenset({'Common Cold'}),0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
1164,frozenset({'Common Cold'}),"frozenset({'fatigue', 'eye_irritation'})",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
1173,"frozenset({'loss_of_smell', 'eye_irritation'})",frozenset({'Common Cold'}),0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
1174,"frozenset({'eye_irritation', 'Common Cold'})",frozenset({'loss_of_smell'}),0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
1176,frozenset({'loss_of_smell'}),"frozenset({'eye_irritation', 'Common Cold'})",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
1177,frozenset({'Common Cold'}),"frozenset({'loss_of_smell', 'eye_irritation'})",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
1178,"frozenset({'muscle_pain', 'eye_irritation'})",frozenset({'Common Cold'}),0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
1181,frozenset({'Common Cold'}),"frozenset({'muscle_pain', 'eye_irritation'})",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
1182,"frozenset({'nasal_congestion', 'eye_irritation'})",frozenset({'Common Cold'}),0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
1184,"frozenset({'eye_irritation', 'Common Cold'})",frozenset({'nasal_congestion'}),0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
1185,frozenset({'nasal_congestion'}),"frozenset({'eye_irritation', 'Common Cold'})",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
1186,frozenset({'Common Cold'}),"frozenset({'nasal_congestion', 'eye_irritation'})",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
1187,"frozenset({'eye_irritation', 'phlegm'})",frozenset({'Common Cold'}),0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
1190,frozenset({'Common Cold'}),"frozenset({'eye_irritation', 'phlegm'})",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
1191,"frozenset({'runny_nose', 'eye_irritation'})",frozenset({'Common Cold'}),0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
1193,"frozenset({'eye_irritation', 'Common Cold'})",frozenset({'runny_nose'}),0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
1194,frozenset({'runny_nose'}),"frozenset({'eye_irritation', 'Common Cold'})",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
1195,frozenset({'Common Cold'}),"frozenset({'runny_nose', 'eye_irritation'})",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
1203,"frozenset({'eye_irritation', 'throat_irritation'})",frozenset({'Common Cold'}),0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
1206,frozenset({'Common Cold'}),"frozenset({'eye_irritation', 'throat_irritation'})",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
1213,"frozenset({'fatigue', 'loss_of_smell'})",frozenset({'Common Cold'}),0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
1214,"frozenset({'fatigue', 'Common Cold'})",frozenset({'loss_of_smell'}),0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
1216,frozenset({'loss_of_smell'}),"frozenset({'fatigue', 'Common Cold'})",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
1217,frozenset({'Common Cold'}),"frozenset({'fatigue', 'loss_of_smell'})",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
1221,"frozenset({'fatigue', 'nasal_congestion'})",frozenset({'Common Cold'}),0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
1222,"frozenset({'fatigue', 'Common Cold'})",frozenset({'nasal_congestion'}),0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
1224,frozenset({'nasal_congestion'}),"frozenset({'fatigue', 'Common Cold'})",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
1225,frozenset({'Common Cold'}),"frozenset({'fatigue', 'nasal_congestion'})",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
1229,"frozenset({'fatigue', 'runny_nose'})",frozenset({'Common Cold'}),0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
1230,"frozenset({'fatigue', 'Common Cold'})",frozenset({'runny_nose'}),0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
1232,frozenset({'runny_nose'}),"frozenset({'fatigue', 'Common Cold'})",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
1233,frozenset({'Common Cold'}),"frozenset({'fatigue', 'runny_nose'})",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
1241,"frozenset({'fatigue', 'throat_irritation'})",frozenset({'Common Cold'}),0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
1244,frozenset({'Common Cold'}),"frozenset({'fatigue', 'throat_irritation'})",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
1312,"frozenset({'muscle_pain', 'loss_of_smell'})",frozenset({'Common Cold'}),0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
1313,"frozenset({'muscle_pain', 'Common Cold'})",frozenset({'loss_of_smell'}),0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
1315,frozenset({'loss_of_smell'}),"frozenset({'muscle_pain', 'Common Cold'})",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
1316,frozenset({'Common Cold'}),"frozenset({'muscle_pain', 'loss_of_smell'})",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
1317,"frozenset({'nasal_congestion', 'loss_of_smell'})",frozenset({'Common Cold'}),0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
1318,"frozenset({'nasal_congestion', 'Common Cold'})",frozenset({'loss_of_smell'}),0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
1319,"frozenset({'loss_of_smell', 'Common Cold'})",frozenset({'nasal_congestion'}),0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
1320,frozenset({'nasal_congestion'}),"frozenset({'loss_of_smell', 'Common Cold'})",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
1321,frozenset({'loss_of_smell'}),"frozenset({'nasal_congestion', 'Common Cold'})",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
1322,frozenset({'Common Cold'}),"frozenset({'nasal_congestion', 'loss_of_smell'})",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
1323,"frozenset({'loss_of_smell', 'phlegm'})",frozenset({'Common Cold'}),0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
1325,"frozenset({'phlegm', 'Common Cold'})",frozenset({'loss_of_smell'}),0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
1326,frozenset({'loss_of_smell'}),"frozenset({'phlegm', 'Common Cold'})",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
1327,frozenset({'Common Cold'}),"frozenset({'loss_of_smell', 'phlegm'})",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
1328,"frozenset({'runny_nose', 'loss_of_smell'})",frozenset({'Common Cold'}),0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
1329,"frozenset({'runny_nose', 'Common Cold'})",frozenset({'loss_of_smell'}),0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
1330,"frozenset({'loss_of_smell', 'Common Cold'})",frozenset({'runny_nose'}),0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
1331,frozenset({'runny_nose'}),"frozenset({'loss_of_smell', 'Common Cold'})",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
1332,frozenset({'loss_of_smell'}),"frozenset({'runny_nose', 'Common Cold'})",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
1333,frozenset({'Common Cold'}),"frozenset({'runny_nose', 'loss_of_smell'})",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
1344,"frozenset({'loss_of_smell', 'throat_irritation'})",frozenset({'Common Cold'}),0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
1345,"frozenset({'Common Cold', 'throat_irritation'})",frozenset({'loss_of_smell'}),0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
1347,frozenset({'loss_of_smell'}),"frozenset({'Common Cold', 'throat_irritation'})",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
1348,frozenset({'Common Cold'}),"frozenset({'loss_of_smell', 'throat_irritation'})",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
1349,"frozenset({'muscle_pain', 'nasal_congestion'})",frozenset({'Common Cold'}),0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
1350,"frozenset({'muscle_pain', 'Common Cold'})",frozenset({'nasal_congestion'}),0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
1352,frozenset({'nasal_congestion'}),"frozenset({'muscle_pain', 'Common Cold'})",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
1353,frozenset({'Common Cold'}),"frozenset({'muscle_pain', 'nasal_congestion'})",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
1354,"frozenset({'muscle_pain', 'phlegm'})",frozenset({'Common Cold'}),0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
1357,frozenset({'Common Cold'}),"frozenset({'muscle_pain', 'phlegm'})",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
1359,"frozenset({'runny_nose', 'muscle_pain'})",frozenset({'Common Cold'}),0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
1360,"frozenset({'muscle_pain', 'Common Cold'})",frozenset({'runny_nose'}),0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
1361,frozenset({'runny_nose'}),"frozenset({'muscle_pain', 'Common Cold'})",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
1362,frozenset({'Common Cold'}),"frozenset({'runny_nose', 'muscle_pain'})",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
1371,"frozenset({'muscle_pain', 'throat_irritation'})",frozenset({'Common Cold'}),0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
1374,frozenset({'Common Cold'}),"frozenset({'muscle_pain', 'throat_irritation'})",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
1375,"frozenset({'nasal_congestion', 'phlegm'})",frozenset({'Common Cold'}),0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
1377,"frozenset({'phlegm', 'Common Cold'})",frozenset({'nasal_congestion'}),0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
1378,frozenset({'nasal_congestion'}),"frozenset({'phlegm', 'Common Cold'})",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
1379,frozenset({'Common Cold'}),"frozenset({'nasal_congestion', 'phlegm'})",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
1380,"frozenset({'runny_nose', 'nasal_congestion'})",frozenset({'Common Cold'}),0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
1381,"frozenset({'runny_nose', 'Common Cold'})",frozenset({'nasal_congestion'}),0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
